#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Ascorbate and aldarate metabolism	KEGG PATHWAY	ssc00053	12	23	4.27357813518e-05	0.00104119903657	ENSSSCG00000034976|ENSSSCG00000018041|ENSSSCG00000039276|ENSSSCG00000034442|ENSSSCG00000034735|ENSSSCG00000040980|ENSSSCG00000009889|ENSSSCG00000022390|ENSSSCG00000009667|ENSSSCG00000008935|ENSSSCG00000036274|ENSSSCG00000023749	http://www.genome.jp/kegg-bin/show_pathway?ssc00053/ssc:100738495%09red/ssc:100514063%09red/ssc:100525303%09red/ssc:100624700%09red/ssc:100152603%09red/ssc:733685%09red/ssc:396759%09red/ssc:100623255%09red/ssc:100624788%09red/ssc:106504108%09red/ssc:100515741%09red/ssc:397189%09red
Arginine biosynthesis	KEGG PATHWAY	ssc00220	11	20	6.20089698468e-05	0.00138486699324	ENSSSCG00000012236|ENSSSCG00000016159|ENSSSCG00000000401|ENSSSCG00000005701|ENSSSCG00000004195|ENSSSCG00000002847|ENSSSCG00000010537|ENSSSCG00000007738|ENSSSCG00000015545|ENSSSCG00000016056|ENSSSCG00000024179	http://www.genome.jp/kegg-bin/show_pathway?ssc00220/ssc:397115%09red/ssc:100738224%09red/ssc:397438%09red/ssc:414411%09red/ssc:396967%09red/ssc:100048960%09red/ssc:100521318%09red/ssc:396944%09red/ssc:100157716%09red/ssc:100517757%09red/ssc:399525%09red
Drug metabolism - other enzymes	KEGG PATHWAY	ssc00983	14	34	7.71601813931e-05	0.00159068681641	ENSSSCG00000034976|ENSSSCG00000034220|ENSSSCG00000039276|ENSSSCG00000034896|ENSSSCG00000034442|ENSSSCG00000034735|ENSSSCG00000021938|ENSSSCG00000006040|ENSSSCG00000010060|ENSSSCG00000008935|ENSSSCG00000036274|ENSSSCG00000007739|ENSSSCG00000040980|ENSSSCG00000008522	http://www.genome.jp/kegg-bin/show_pathway?ssc00983/ssc:100738495%09red/ssc:100514063%09red/ssc:100156500%09red/ssc:100624700%09red/ssc:100155919%09red/ssc:100152603%09red/ssc:100515259%09red/ssc:397478%09red/ssc:100623255%09red/ssc:100522709%09red/ssc:397351%09red/ssc:100624788%09red/ssc:100144519%09red/ssc:100515741%09red
Retinol metabolism	KEGG PATHWAY	ssc00830	18	58	0.000158199510395	0.00283387307692	ENSSSCG00000010488|ENSSSCG00000010546|ENSSSCG00000028996|ENSSSCG00000039276|ENSSSCG00000027854|ENSSSCG00000002296|ENSSSCG00000034735|ENSSSCG00000040980|ENSSSCG00000023320|ENSSSCG00000009182|ENSSSCG00000034976|ENSSSCG00000009184|ENSSSCG00000003006|ENSSSCG00000008935|ENSSSCG00000036274|ENSSSCG00000001901|ENSSSCG00000024537|ENSSSCG00000034442	http://www.genome.jp/kegg-bin/show_pathway?ssc00830/ssc:100512795%09red/ssc:100738495%09red/ssc:100514063%09red/ssc:403111%09red/ssc:100620470%09red/ssc:100624700%09red/ssc:100515741%09red/ssc:100152603%09red/ssc:100152910%09red/ssc:100513366%09red/ssc:100623255%09red/ssc:100517137%09red/ssc:403215%09red/ssc:100144468%09red/ssc:100154684%09red/ssc:100624788%09red/ssc:403107%09red/ssc:403104%09red
Alanine, aspartate and glutamate metabolism	KEGG PATHWAY	ssc00250	14	37	0.000158612299081	0.00283387307692	ENSSSCG00000001090|ENSSSCG00000016402|ENSSSCG00000015545|ENSSSCG00000016159|ENSSSCG00000015340|ENSSSCG00000005701|ENSSSCG00000016829|ENSSSCG00000002847|ENSSSCG00000010537|ENSSSCG00000024752|ENSSSCG00000037334|ENSSSCG00000016056|ENSSSCG00000000401|ENSSSCG00000007738	http://www.genome.jp/kegg-bin/show_pathway?ssc00250/ssc:100820830%09red/ssc:100157716%09red/ssc:100312961%09red/ssc:100738224%09red/ssc:100157072%09red/ssc:414411%09red/ssc:100517757%09red/ssc:100521318%09red/ssc:100517616%09red/ssc:396944%09red/ssc:100048943%09red/ssc:399525%09red/ssc:396967%09red/ssc:100513890%09red
Prion diseases	KEGG PATHWAY	ssc05020	13	33	0.000196359182246	0.00328901630261	ENSSSCG00000038706|ENSSSCG00000003834|ENSSSCG00000003835|ENSSSCG00000005840|ENSSSCG00000015555|ENSSSCG00000033512|ENSSSCG00000015045|ENSSSCG00000003524|ENSSSCG00000016856|ENSSSCG00000016861|ENSSSCG00000016859|ENSSSCG00000005512|ENSSSCG00000007039	http://www.genome.jp/kegg-bin/show_pathway?ssc05020/ssc:494014%09red/ssc:445460%09red/ssc:445461%09red/ssc:100515564%09red/ssc:100518846%09red/ssc:414437%09red/ssc:100514785%09red/ssc:100037955%09red/ssc:100037954%09red/ssc:100037953%09red/ssc:100037952%09red/ssc:100037951%09red/ssc:397526%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	ssc00860	13	34	0.000248605436793	0.00391919159179	ENSSSCG00000034976|ENSSSCG00000039276|ENSSSCG00000011700|ENSSSCG00000039745|ENSSSCG00000034735|ENSSSCG00000040980|ENSSSCG00000007739|ENSSSCG00000021067|ENSSSCG00000008935|ENSSSCG00000036274|ENSSSCG00000011978|ENSSSCG00000034442|ENSSSCG00000032787	http://www.genome.jp/kegg-bin/show_pathway?ssc00860/ssc:100625219%09red/ssc:100738495%09red/ssc:100514063%09red/ssc:100624700%09red/ssc:100152603%09red/ssc:100621486%09red/ssc:445512%09red/ssc:100623255%09red/ssc:100511474%09red/ssc:100624788%09red/ssc:406870%09red/ssc:100144519%09red/ssc:100515741%09red
Phenylalanine metabolism	KEGG PATHWAY	ssc00360	10	22	0.000437987034797	0.00621206296281	ENSSSCG00000013150|ENSSSCG00000037487|ENSSSCG00000002736|ENSSSCG00000040088|ENSSSCG00000022009|ENSSSCG00000004822|ENSSSCG00000009805|ENSSSCG00000010537|ENSSSCG00000000856|ENSSSCG00000023215	http://www.genome.jp/kegg-bin/show_pathway?ssc00360/ssc:106504111%09red/ssc:100511756%09red/ssc:414909%09red/ssc:100520329%09red/ssc:100517514%09red/ssc:100521900%09red/ssc:396857%09red/ssc:397443%09red/ssc:396967%09red/ssc:100517803%09red
Bile secretion	KEGG PATHWAY	ssc04976	19	70	0.000440407448856	0.00621206296281	ENSSSCG00000003565|ENSSSCG00000004597|ENSSSCG00000004041|ENSSSCG00000027796|ENSSSCG00000010543|ENSSSCG00000024520|ENSSSCG00000006391|ENSSSCG00000002313|ENSSSCG00000014213|ENSSSCG00000005398|ENSSSCG00000008453|ENSSSCG00000010853|ENSSSCG00000017101|ENSSSCG00000033207|ENSSSCG00000000875|ENSSSCG00000015926|ENSSSCG00000015084|ENSSSCG00000021998|ENSSSCG00000033190	http://www.genome.jp/kegg-bin/show_pathway?ssc04976/ssc:100519705%09red/ssc:397535%09red/ssc:541593%09red/ssc:100153960%09red/ssc:397049%09red/ssc:397639%09red/ssc:396828%09red/ssc:100127153%09red/ssc:641359%09red/ssc:100518154%09red/ssc:100526226%09red/ssc:407773%09red/ssc:100620829%09red/ssc:100153302%09red/ssc:100515185%09red/ssc:100048963%09red/ssc:100517503%09red/ssc:733693%09red/ssc:100144586%09red
Glucagon signaling pathway	KEGG PATHWAY	ssc04922	23	95	0.000472175212282	0.00632714784458	ENSSSCG00000013022|ENSSSCG00000022364|ENSSSCG00000002844|ENSSSCG00000007744|ENSSSCG00000007507|ENSSSCG00000029275|ENSSSCG00000002009|ENSSSCG00000039535|ENSSSCG00000014443|ENSSSCG00000016200|ENSSSCG00000020927|ENSSSCG00000010311|ENSSSCG00000036449|ENSSSCG00000007058|ENSSSCG00000009937|ENSSSCG00000000084|ENSSSCG00000012411|ENSSSCG00000016720|ENSSSCG00000013501|ENSSSCG00000001930|ENSSSCG00000017101|ENSSSCG00000010301|ENSSSCG00000009172	http://www.genome.jp/kegg-bin/show_pathway?ssc04922/ssc:100516581%09red/ssc:100625881%09red/ssc:100522979%09red/ssc:403165%09red/ssc:397394%09red/ssc:100154993%09red/ssc:396603%09red/ssc:397149%09red/ssc:397241%09red/ssc:399528%09red/ssc:100144302%09red/ssc:100158154%09red/ssc:100144531%09red/ssc:100517503%09red/ssc:733659%09red/ssc:397429%09red/ssc:100134959%09red/ssc:100188980%09red/ssc:397013%09red/ssc:100525092%09red/ssc:100516166%09red/ssc:397548%09red/ssc:100626014%09red
Carbon metabolism	KEGG PATHWAY	ssc01200	25	110	0.000612597293326	0.00781790831483	ENSSSCG00000031174|ENSSSCG00000002847|ENSSSCG00000040296|ENSSSCG00000016402|ENSSSCG00000036614|ENSSSCG00000017759|ENSSSCG00000004454|ENSSSCG00000009870|ENSSSCG00000036865|ENSSSCG00000038300|ENSSSCG00000016159|ENSSSCG00000009522|ENSSSCG00000010947|ENSSSCG00000035686|ENSSSCG00000008207|ENSSSCG00000009405|ENSSSCG00000027439|ENSSSCG00000017904|ENSSSCG00000016720|ENSSSCG00000036208|ENSSSCG00000022390|ENSSSCG00000010537|ENSSSCG00000021129|ENSSSCG00000001930|ENSSSCG00000008261	http://www.genome.jp/kegg-bin/show_pathway?ssc01200/ssc:100514459%09red/ssc:106504108%09red/ssc:100154365%09red/ssc:397519%09red/ssc:100038014%09red/ssc:100134828%09red/ssc:100521318%09red/ssc:733601%09red/ssc:399540%09red/ssc:100739035%09red/ssc:494561%09red/ssc:397538%09red/ssc:100515523%09red/ssc:100158154%09red/ssc:100155595%09red/ssc:448846%09red/ssc:100517616%09red/ssc:100627803%09red/ssc:396967%09red/ssc:692156%09red/ssc:397038%09red/ssc:100524103%09red/ssc:100188980%09red/ssc:100512013%09red/ssc:100157716%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	ssc00010	17	62	0.000783812724241	0.00954826409531	ENSSSCG00000038300|ENSSSCG00000018041|ENSSSCG00000017759|ENSSSCG00000010947|ENSSSCG00000004822|ENSSSCG00000017904|ENSSSCG00000016720|ENSSSCG00000031174|ENSSSCG00000021129|ENSSSCG00000009182|ENSSSCG00000009184|ENSSSCG00000001930|ENSSSCG00000036449|ENSSSCG00000009889|ENSSSCG00000008261|ENSSSCG00000002009|ENSSSCG00000007507	http://www.genome.jp/kegg-bin/show_pathway?ssc00010/ssc:106504111%09red/ssc:100512795%09red/ssc:397038%09red/ssc:100134959%09red/ssc:100134828%09red/ssc:100515523%09red/ssc:100158154%09red/ssc:100144531%09red/ssc:100512013%09red/ssc:100188980%09red/ssc:733685%09red/ssc:692156%09red/ssc:733601%09red/ssc:403165%09red/ssc:100513366%09red/ssc:494561%09red/ssc:100525303%09red
Staphylococcus aureus infection	KEGG PATHWAY	ssc05150	14	47	0.00114499114828	0.0128011270936	ENSSSCG00000038706|ENSSSCG00000033512|ENSSSCG00000024914|ENSSSCG00000004038|ENSSSCG00000024314|ENSSSCG00000009138|ENSSSCG00000013551|ENSSSCG00000003410|ENSSSCG00000003524|ENSSSCG00000000675|ENSSSCG00000011806|ENSSSCG00000024252|ENSSSCG00000005512|ENSSSCG00000010893	http://www.genome.jp/kegg-bin/show_pathway?ssc05150/ssc:733660%09red/ssc:397072%09red/ssc:100152125%09red/ssc:445460%09red/ssc:445461%09red/ssc:403164%09red/ssc:492276%09red/ssc:445464%09red/ssc:397525%09red/ssc:100518846%09red/ssc:414437%09red/ssc:100302537%09red/ssc:100516921%09red/ssc:100124383%09red
Tyrosine metabolism	KEGG PATHWAY	ssc00350	12	36	0.00114636959047	0.0128011270936	ENSSSCG00000021227|ENSSSCG00000037487|ENSSSCG00000002736|ENSSSCG00000022009|ENSSSCG00000004822|ENSSSCG00000009805|ENSSSCG00000010537|ENSSSCG00000010132|ENSSSCG00000009182|ENSSSCG00000009184|ENSSSCG00000023215|ENSSSCG00000002396	http://www.genome.jp/kegg-bin/show_pathway?ssc00350/ssc:106504111%09red/ssc:100512795%09red/ssc:100511756%09red/ssc:414909%09red/ssc:100520329%09red/ssc:100624241%09red/ssc:100155530%09red/ssc:100513366%09red/ssc:396857%09red/ssc:397443%09red/ssc:100626791%09red/ssc:396967%09red
Arginine and proline metabolism	KEGG PATHWAY	ssc00330	14	48	0.00135472041301	0.0145226028275	ENSSSCG00000010537|ENSSSCG00000003463|ENSSSCG00000002913|ENSSSCG00000018041|ENSSSCG00000023142|ENSSSCG00000004672|ENSSSCG00000004195|ENSSSCG00000027121|ENSSSCG00000014128|ENSSSCG00000024752|ENSSSCG00000023215|ENSSSCG00000009942|ENSSSCG00000009889|ENSSSCG00000036132	http://www.genome.jp/kegg-bin/show_pathway?ssc00330/ssc:100820830%09red/ssc:100126844%09red/ssc:397264%09red/ssc:100525303%09red/ssc:414909%09red/ssc:100519548%09red/ssc:733685%09red/ssc:733602%09red/ssc:397115%09red/ssc:414408%09red/ssc:106510519%09red/ssc:397134%09red/ssc:100625146%09red/ssc:396967%09red
Focal adhesion	KEGG PATHWAY	ssc04510	36	196	0.00150214991981	0.0149568833791	ENSSSCG00000008629|ENSSSCG00000009134|ENSSSCG00000003909|ENSSSCG00000015326|ENSSSCG00000016635|ENSSSCG00000039710|ENSSSCG00000016578|ENSSSCG00000040643|ENSSSCG00000014117|ENSSSCG00000016634|ENSSSCG00000011377|ENSSSCG00000004789|ENSSSCG00000007799|ENSSSCG00000014007|ENSSSCG00000004207|ENSSSCG00000010313|ENSSSCG00000005494|ENSSSCG00000010925|ENSSSCG00000038323|ENSSSCG00000027331|ENSSSCG00000029411|ENSSSCG00000028022|ENSSSCG00000000712|ENSSSCG00000009545|ENSSSCG00000027801|ENSSSCG00000008540|ENSSSCG00000024088|ENSSSCG00000033327|ENSSSCG00000015555|ENSSSCG00000004425|ENSSSCG00000023611|ENSSSCG00000004012|ENSSSCG00000007231|ENSSSCG00000010144|ENSSSCG00000022506|ENSSSCG00000014878	http://www.genome.jp/kegg-bin/show_pathway?ssc04510/ssc:100626716%09red/ssc:474162%09red/ssc:100125375%09red/ssc:100514785%09red/ssc:100525832%09red/ssc:100154420%09red/ssc:100153454%09red/ssc:396974%09red/ssc:397378%09red/ssc:397393%09red/ssc:100154581%09red/ssc:641358%09red/ssc:445520%09red/ssc:101101688%09red/ssc:100156660%09red/ssc:100623732%09red/ssc:399543%09red/ssc:404693%09red/ssc:492313%09red/ssc:397083%09red/ssc:100626465%09red/ssc:100153940%09red/ssc:100157406%09red/ssc:100101551%09red/ssc:100101552%09red/ssc:100524288%09red/ssc:100519531%09red/ssc:396690%09red/ssc:100525766%09red/ssc:100518179%09red/ssc:100513005%09red/ssc:100511937%09red/ssc:100518997%09red/ssc:397445%09red/ssc:397460%09red/ssc:100623720%09red
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	ssc05410	19	79	0.00150685019118	0.0149568833791	ENSSSCG00000011325|ENSSSCG00000010816|ENSSSCG00000006556|ENSSSCG00000036052|ENSSSCG00000015402|ENSSSCG00000017063|ENSSSCG00000003257|ENSSSCG00000005316|ENSSSCG00000017510|ENSSSCG00000017296|ENSSSCG00000017583|ENSSSCG00000020785|ENSSSCG00000010142|ENSSSCG00000004570|ENSSSCG00000016200|ENSSSCG00000008833|ENSSSCG00000017271|ENSSSCG00000039710|ENSSSCG00000011441	http://www.genome.jp/kegg-bin/show_pathway?ssc05410/ssc:733677%09red/ssc:100514316%09red/ssc:100156435%09red/ssc:396725%09red/ssc:397084%09red/ssc:397377%09red/ssc:396690%09red/ssc:100240724%09red/ssc:613133%09red/ssc:396693%09red/ssc:397149%09red/ssc:100519519%09red/ssc:396856%09red/ssc:100519779%09red/ssc:100037999%09red/ssc:100515755%09red/ssc:100620599%09red/ssc:100240723%09red/ssc:100135674%09red
ECM-receptor interaction	KEGG PATHWAY	ssc04512	19	82	0.00217052671219	0.0207750413881	ENSSSCG00000027801|ENSSSCG00000015405|ENSSSCG00000004207|ENSSSCG00000011377|ENSSSCG00000015555|ENSSSCG00000003514|ENSSSCG00000027331|ENSSSCG00000023611|ENSSSCG00000008601|ENSSSCG00000004789|ENSSSCG00000014117|ENSSSCG00000004425|ENSSSCG00000028022|ENSSSCG00000022506|ENSSSCG00000015326|ENSSSCG00000004012|ENSSSCG00000000712|ENSSSCG00000009545|ENSSSCG00000005494	http://www.genome.jp/kegg-bin/show_pathway?ssc04512/ssc:100101551%09red/ssc:492313%09red/ssc:100154581%09red/ssc:100517288%09red/ssc:100514785%09red/ssc:733702%09red/ssc:399543%09red/ssc:445520%09red/ssc:101101688%09red/ssc:100153940%09red/ssc:100513005%09red/ssc:100519770%09red/ssc:100626716%09red/ssc:100154420%09red/ssc:100101552%09red/ssc:100153454%09red/ssc:397460%09red/ssc:100623732%09red/ssc:100623720%09red
Cysteine and methionine metabolism	KEGG PATHWAY	ssc00270	13	46	0.00250466686203	0.0231465765181	ENSSSCG00000000133|ENSSSCG00000002736|ENSSSCG00000014219|ENSSSCG00000003789|ENSSSCG00000016829|ENSSSCG00000010537|ENSSSCG00000010337|ENSSSCG00000014111|ENSSSCG00000009870|ENSSSCG00000003139|ENSSSCG00000036865|ENSSSCG00000001488|ENSSSCG00000014108	http://www.genome.jp/kegg-bin/show_pathway?ssc00270/ssc:100312964%09red/ssc:100511756%09red/ssc:100153230%09red/ssc:100155595%09red/ssc:100522018%09red/ssc:100156922%09red/ssc:100523776%09red/ssc:100154365%09red/ssc:397371%09red/ssc:733654%09red/ssc:396841%09red/ssc:396967%09red/ssc:100513890%09red
Primary bile acid biosynthesis	KEGG PATHWAY	ssc00120	7	16	0.00376033937396	0.033592365074	ENSSSCG00000016199|ENSSSCG00000011477|ENSSSCG00000034388|ENSSSCG00000022092|ENSSSCG00000032369|ENSSSCG00000005398|ENSSSCG00000016519	http://www.genome.jp/kegg-bin/show_pathway?ssc00120/ssc:100520813%09red/ssc:100516877%09red/ssc:403328%09red/ssc:100525281%09red/ssc:100126282%09red/ssc:100515185%09red/ssc:100738003%09red
Adrenergic signaling in cardiomyocytes	KEGG PATHWAY	ssc04261	27	145	0.00464568951963	0.040162735202	ENSSSCG00000017271|ENSSSCG00000011441|ENSSSCG00000003909|ENSSSCG00000032693|ENSSSCG00000002029|ENSSSCG00000039710|ENSSSCG00000039535|ENSSSCG00000006556|ENSSSCG00000015402|ENSSSCG00000003257|ENSSSCG00000005316|ENSSSCG00000023526|ENSSSCG00000004570|ENSSSCG00000008540|ENSSSCG00000010311|ENSSSCG00000014443|ENSSSCG00000000084|ENSSSCG00000011325|ENSSSCG00000038598|ENSSSCG00000000298|ENSSSCG00000017510|ENSSSCG00000006391|ENSSSCG00000013501|ENSSSCG00000007058|ENSSSCG00000010142|ENSSSCG00000017101|ENSSSCG00000015084	http://www.genome.jp/kegg-bin/show_pathway?ssc04261/ssc:100516581%09red/ssc:100522979%09red/ssc:100515755%09red/ssc:397378%09red/ssc:100621808%09red/ssc:397394%09red/ssc:397377%09red/ssc:397357%09red/ssc:396828%09red/ssc:396860%09red/ssc:541593%09red/ssc:574062%09red/ssc:100144302%09red/ssc:100517503%09red/ssc:396690%09red/ssc:396693%09red/ssc:100519779%09red/ssc:100514316%09red/ssc:100516166%09red/ssc:733677%09red/ssc:100511937%09red/ssc:100620989%09red/ssc:100156435%09red/ssc:396856%09red/ssc:100037999%09red/ssc:100620599%09red/ssc:100626014%09red
Fructose and mannose metabolism	KEGG PATHWAY	ssc00051	10	33	0.00508173249394	0.041062384838	ENSSSCG00000004679|ENSSSCG00000038300|ENSSSCG00000011133|ENSSSCG00000021129|ENSSSCG00000010947|ENSSSCG00000017759|ENSSSCG00000031174|ENSSSCG00000000061|ENSSSCG00000008556|ENSSSCG00000008261	http://www.genome.jp/kegg-bin/show_pathway?ssc00051/ssc:100523241%09red/ssc:397038%09red/ssc:100512013%09red/ssc:100134828%09red/ssc:100515523%09red/ssc:100158181%09red/ssc:100151790%09red/ssc:100516289%09red/ssc:733601%09red/ssc:494561%09red
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG PATHWAY	ssc05412	16	70	0.00522295405801	0.041062384838	ENSSSCG00000020785|ENSSSCG00000017271|ENSSSCG00000001025|ENSSSCG00000015402|ENSSSCG00000038323|ENSSSCG00000003257|ENSSSCG00000017063|ENSSSCG00000017510|ENSSSCG00000022739|ENSSSCG00000017583|ENSSSCG00000003722|ENSSSCG00000010144|ENSSSCG00000010142|ENSSSCG00000004241|ENSSSCG00000008833|ENSSSCG00000030680	http://www.genome.jp/kegg-bin/show_pathway?ssc05412/ssc:733677%09red/ssc:100514316%09red/ssc:100512951%09red/ssc:100156744%09red/ssc:396725%09red/ssc:100157406%09red/ssc:397377%09red/ssc:100515322%09red/ssc:100240724%09red/ssc:396856%09red/ssc:100519779%09red/ssc:100625833%09red/ssc:100519531%09red/ssc:100518636%09red/ssc:100240723%09red/ssc:100135674%09red
Amoebiasis	KEGG PATHWAY	ssc05146	20	97	0.00531242444769	0.041062384838	ENSSSCG00000010816|ENSSSCG00000003909|ENSSSCG00000007058|ENSSSCG00000003834|ENSSSCG00000038323|ENSSSCG00000004425|ENSSSCG00000003835|ENSSSCG00000016034|ENSSSCG00000004195|ENSSSCG00000011377|ENSSSCG00000005840|ENSSSCG00000010144|ENSSSCG00000009002|ENSSSCG00000016856|ENSSSCG00000015326|ENSSSCG00000015555|ENSSSCG00000014369|ENSSSCG00000004207|ENSSSCG00000010313|ENSSSCG00000009545	http://www.genome.jp/kegg-bin/show_pathway?ssc05146/ssc:100516581%09red/ssc:100037954%09red/ssc:100037951%09red/ssc:100511937%09red/ssc:100153454%09red/ssc:100154581%09red/ssc:100514785%09red/ssc:101101688%09red/ssc:100157406%09red/ssc:397115%09red/ssc:100626716%09red/ssc:397084%09red/ssc:396623%09red/ssc:100154420%09red/ssc:100037955%09red/ssc:100519531%09red/ssc:100037953%09red/ssc:396974%09red/ssc:100152001%09red/ssc:100037938%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	ssc00630	9	28	0.00563542905658	0.041062384838	ENSSSCG00000016402|ENSSSCG00000015545|ENSSSCG00000036614|ENSSSCG00000009522|ENSSSCG00000027439|ENSSSCG00000036208|ENSSSCG00000003940|ENSSSCG00000011432|ENSSSCG00000035686	http://www.genome.jp/kegg-bin/show_pathway?ssc00630/ssc:397519%09red/ssc:100522516%09red/ssc:100517616%09red/ssc:100524103%09red/ssc:100514459%09red/ssc:396944%09red/ssc:100627803%09red/ssc:100739035%09red/ssc:100517478%09red
Dilated cardiomyopathy	KEGG PATHWAY	ssc05414	18	84	0.00565914010646	0.041062384838	ENSSSCG00000011325|ENSSSCG00000010816|ENSSSCG00000006556|ENSSSCG00000004570|ENSSSCG00000015402|ENSSSCG00000017063|ENSSSCG00000003257|ENSSSCG00000005316|ENSSSCG00000017510|ENSSSCG00000020785|ENSSSCG00000017583|ENSSSCG00000036052|ENSSSCG00000010142|ENSSSCG00000017101|ENSSSCG00000008833|ENSSSCG00000017271|ENSSSCG00000039710|ENSSSCG00000011441	http://www.genome.jp/kegg-bin/show_pathway?ssc05414/ssc:733677%09red/ssc:100514316%09red/ssc:100517503%09red/ssc:100156435%09red/ssc:396725%09red/ssc:397084%09red/ssc:397377%09red/ssc:396690%09red/ssc:100240724%09red/ssc:396693%09red/ssc:100519519%09red/ssc:396856%09red/ssc:100519779%09red/ssc:100037999%09red/ssc:100515755%09red/ssc:100620599%09red/ssc:100240723%09red/ssc:100135674%09red
Insulin signaling pathway	KEGG PATHWAY	ssc04910	25	133	0.00566906059331	0.041062384838	ENSSSCG00000013022|ENSSSCG00000030361|ENSSSCG00000003909|ENSSSCG00000002844|ENSSSCG00000007744|ENSSSCG00000007507|ENSSSCG00000029275|ENSSSCG00000002009|ENSSSCG00000023915|ENSSSCG00000022725|ENSSSCG00000016200|ENSSSCG00000008540|ENSSSCG00000031174|ENSSSCG00000010947|ENSSSCG00000010494|ENSSSCG00000036449|ENSSSCG00000013554|ENSSSCG00000009937|ENSSSCG00000012411|ENSSSCG00000031261|ENSSSCG00000003018|ENSSSCG00000008261|ENSSSCG00000022797|ENSSSCG00000029944|ENSSSCG00000016640	http://www.genome.jp/kegg-bin/show_pathway?ssc04910/ssc:100625881%09red/ssc:100151746%09red/ssc:100153151%09red/ssc:403165%09red/ssc:397378%09red/ssc:100134828%09red/ssc:100739542%09red/ssc:100154993%09red/ssc:397149%09red/ssc:100515931%09red/ssc:100533200%09red/ssc:494561%09red/ssc:100523840%09red/ssc:100144531%09red/ssc:397583%09red/ssc:100134959%09red/ssc:397038%09red/ssc:733659%09red/ssc:100511937%09red/ssc:397013%09red/ssc:397561%09red/ssc:100525092%09red/ssc:397548%09red/ssc:100518588%09red/ssc:100520177%09red
Insulin resistance	KEGG PATHWAY	ssc04931	22	113	0.0064128149895	0.0452272215049	ENSSSCG00000013022|ENSSSCG00000022364|ENSSSCG00000003909|ENSSSCG00000009794|ENSSSCG00000007507|ENSSSCG00000029275|ENSSSCG00000002009|ENSSSCG00000012403|ENSSSCG00000015405|ENSSSCG00000004022|ENSSSCG00000023915|ENSSSCG00000016200|ENSSSCG00000008540|ENSSSCG00000020927|ENSSSCG00000030361|ENSSSCG00000036449|ENSSSCG00000009937|ENSSSCG00000011131|ENSSSCG00000013501|ENSSSCG00000004643|ENSSSCG00000022797|ENSSSCG00000016640	http://www.genome.jp/kegg-bin/show_pathway?ssc04931/ssc:100522979%09red/ssc:100621326%09red/ssc:403165%09red/ssc:397378%09red/ssc:100515286%09red/ssc:100739542%09red/ssc:100154993%09red/ssc:733702%09red/ssc:397149%09red/ssc:100515931%09red/ssc:100533200%09red/ssc:399528%09red/ssc:494011%09red/ssc:100144531%09red/ssc:733659%09red/ssc:397429%09red/ssc:100134959%09red/ssc:100156510%09red/ssc:100511937%09red/ssc:397013%09red/ssc:664652%09red/ssc:100518588%09red
Fat digestion and absorption	KEGG PATHWAY	ssc04975	10	35	0.00713533104286	0.0487442168207	ENSSSCG00000040689|ENSSSCG00000001435|ENSSSCG00000015405|ENSSSCG00000008214|ENSSSCG00000009179|ENSSSCG00000008453|ENSSSCG00000030709|ENSSSCG00000010291|ENSSSCG00000008595|ENSSSCG00000030921	http://www.genome.jp/kegg-bin/show_pathway?ssc04975/ssc:100523371%09red/ssc:397381%09red/ssc:733702%09red/ssc:445535%09red/ssc:397691%09red/ssc:100048963%09red/ssc:100624333%09red/ssc:613128%09red/ssc:397681%09red/ssc:100152597%09red
Butanoate metabolism	KEGG PATHWAY	ssc00650	8	24	0.00745713764794	0.0487442168207	ENSSSCG00000026025|ENSSSCG00000001090|ENSSSCG00000036808|ENSSSCG00000024109|ENSSSCG00000040296|ENSSSCG00000030033|ENSSSCG00000016863|ENSSSCG00000007858	http://www.genome.jp/kegg-bin/show_pathway?ssc00650/ssc:100512595%09red/ssc:100157072%09red/ssc:100510957%09red/ssc:448846%09red/ssc:100621218%09red/ssc:396978%09red/ssc:100155725%09red/ssc:397673%09red
Proximal tubule bicarbonate reclamation	KEGG PATHWAY	ssc04964	8	24	0.00745713764794	0.0487442168207	ENSSSCG00000000401|ENSSSCG00000015084|ENSSSCG00000006391|ENSSSCG00000007507|ENSSSCG00000011397|ENSSSCG00000016056|ENSSSCG00000002009|ENSSSCG00000033190	http://www.genome.jp/kegg-bin/show_pathway?ssc04964/ssc:541593%09red/ssc:100156039%09red/ssc:100144531%09red/ssc:407773%09red/ssc:100738224%09red/ssc:403165%09red/ssc:399525%09red/ssc:396828%09red
