category	over_represented_pvalue	qvalue	numDEInCat	numInCat	term	ontology	DE_id
GO:0048661	0.000134184413440004	0.00733148245740332	8	20	positive regulation of smooth muscle cell proliferation	BP	ENSSSCG00000025176,ENSSSCG00000033327,ENSSSCG00000039745,ENSSSCG00000004789,ENSSSCG00000005045,ENSSSCG00000038745,ENSSSCG00000002684,ENSSSCG00000014362
GO:0006520	0.000139197257916083	0.00752270398216051	8	19	cellular amino acid metabolic process	BP	ENSSSCG00000022009,ENSSSCG00000007738,ENSSSCG00000021227,ENSSSCG00000012236,ENSSSCG00000002736,ENSSSCG00000009870,ENSSSCG00000036865,ENSSSCG00000010537
GO:0005577	0.000157466950122408	0.00833205673883407	5	7	fibrinogen complex	CC	ENSSSCG00000008998,ENSSSCG00000008997,ENSSSCG00000024314,ENSSSCG00000004789,ENSSSCG00000038745
GO:0006953	0.000157524805601449	0.00833205673883407	5	9	acute-phase response	BP	ENSSSCG00000013370,ENSSSCG00000011799,ENSSSCG00000002749,ENSSSCG00000013252,ENSSSCG00000028758
GO:0005520	0.000160214205631203	0.00838510558314041	8	21	insulin-like growth factor binding	MF	ENSSSCG00000035392,ENSSSCG00000008013,ENSSSCG00000000261,ENSSSCG00000038783,ENSSSCG00000025924,ENSSSCG00000008723,ENSSSCG00000008504,ENSSSCG00000016728
GO:0006536	0.000198472052412342	0.0102791983811892	6	11	glutamate metabolic process	BP	ENSSSCG00000024179,ENSSSCG00000001090,ENSSSCG00000005626,ENSSSCG00000002736,ENSSSCG00000001488,ENSSSCG00000010537
GO:0006699	0.00020485773320909	0.0105005427785113	5	8	bile acid biosynthetic process	BP	ENSSSCG00000031449,ENSSSCG00000022092,ENSSSCG00000009919,ENSSSCG00000004643,ENSSSCG00000016519
GO:0006942	0.000210042784523963	0.0106564563740117	3	3	regulation of striated muscle contraction	BP	ENSSSCG00000006391,ENSSSCG00000011325,ENSSSCG00000031903
GO:0008483	0.000214806183710008	0.0107880438929915	6	12	transaminase activity	MF	ENSSSCG00000003139,ENSSSCG00000009144,ENSSSCG00000016402,ENSSSCG00000016829,ENSSSCG00000002736,ENSSSCG00000010537
GO:0060230	0.000242724581341095	0.0120682661842792	3	3	lipoprotein lipase activator activity	MF	ENSSSCG00000015067,ENSSSCG00000040910,ENSSSCG00000003086
GO:0016012	0.000261485362006894	0.0128035205926162	4	5	sarcoglycan complex	CC	ENSSSCG00000017583,ENSSSCG00000008833,ENSSSCG00000017063,ENSSSCG00000009281
GO:0042802	0.000262662731385127	0.0128035205926162	94	758	identical protein binding	MF	ENSSSCG00000025176,ENSSSCG00000015894,ENSSSCG00000004578,ENSSSCG00000010101,ENSSSCG00000023371,ENSSSCG00000003344,ENSSSCG00000040125,ENSSSCG00000020785,ENSSSCG00000013554,ENSSSCG00000010144,ENSSSCG00000010142,ENSSSCG00000009652,ENSSSCG00000000687,ENSSSCG00000033327,ENSSSCG00000003789,ENSSSCG00000010311,ENSSSCG00000015545,ENSSSCG00000001987,ENSSSCG00000001989,ENSSSCG00000006403,ENSSSCG00000030888,ENSSSCG00000021997,ENSSSCG00000015493,ENSSSCG00000006390,ENSSSCG00000003138,ENSSSCG00000002557,ENSSSCG00000031174,ENSSSCG00000008601,ENSSSCG00000009140,ENSSSCG00000011033,ENSSSCG00000011437,ENSSSCG00000036135,ENSSSCG00000023686,ENSSSCG00000008868,ENSSSCG00000028488,ENSSSCG00000040689,ENSSSCG00000030820,ENSSSCG00000030827,ENSSSCG00000007039,ENSSSCG00000014315,ENSSSCG00000010509,ENSSSCG00000015595,ENSSSCG00000006578,ENSSSCG00000032787,ENSSSCG00000037268,ENSSSCG00000021129,ENSSSCG00000003722,ENSSSCG00000015720,ENSSSCG00000008948,ENSSSCG00000005701,ENSSSCG00000013919,ENSSSCG00000016634,ENSSSCG00000014176,ENSSSCG00000009937,ENSSSCG00000009931,ENSSSCG00000008207,ENSSSCG00000016402,ENSSSCG00000021227,ENSSSCG00000014443,ENSSSCG00000040910,ENSSSCG00000039103,ENSSSCG00000026116,ENSSSCG00000038300,ENSSSCG00000035446,ENSSSCG00000016829,ENSSSCG00000012022,ENSSSCG00000003592,ENSSSCG00000000712,ENSSSCG00000009998,ENSSSCG00000013337,ENSSSCG00000013354,ENSSSCG00000029471,ENSSSCG00000036724,ENSSSCG00000017495,ENSSSCG00000010947,ENSSSCG00000032170,ENSSSCG00000039535,ENSSSCG00000021767,ENSSSCG00000024752,ENSSSCG00000025652,ENSSSCG00000025876,ENSSSCG00000002476,ENSSSCG00000009870,ENSSSCG00000015326,ENSSSCG00000030095,ENSSSCG00000034896,ENSSSCG00000011810,ENSSSCG00000004679,ENSSSCG00000006088,ENSSSCG00000029185,ENSSSCG00000010337,ENSSSCG00000014960,ENSSSCG00000004658,ENSSSCG00000005322
GO:0033344	0.000286284894010339	0.0138194999322273	8	22	cholesterol efflux	BP	ENSSSCG00000015067,ENSSSCG00000015069,ENSSSCG00000001411,ENSSSCG00000040689,ENSSSCG00000008453,ENSSSCG00000008595,ENSSSCG00000003086,ENSSSCG00000006355
GO:0045445	0.00030260723397033	0.0144669535317354	6	12	myoblast differentiation	BP	ENSSSCG00000032693,ENSSSCG00000002467,ENSSSCG00000010522,ENSSSCG00000033854,ENSSSCG00000010461,ENSSSCG00000004038
GO:0006633	0.000314677314671979	0.0148085363496023	10	33	fatty acid biosynthetic process	BP	ENSSSCG00000028620,ENSSSCG00000007858,ENSSSCG00000029944,ENSSSCG00000001045,ENSSSCG00000026554,ENSSSCG00000009937,ENSSSCG00000009919,ENSSSCG00000004596,ENSSSCG00000030033,ENSSSCG00000040631
GO:0006629	0.00031767580555009	0.0148085363496023	27	158	lipid metabolic process	BP	ENSSSCG00000007058,ENSSSCG00000015069,ENSSSCG00000027550,ENSSSCG00000007371,ENSSSCG00000001435,ENSSSCG00000007043,ENSSSCG00000017226,ENSSSCG00000016192,ENSSSCG00000001045,ENSSSCG00000028350,ENSSSCG00000012841,ENSSSCG00000026554,ENSSSCG00000026025,ENSSSCG00000007435,ENSSSCG00000009931,ENSSSCG00000024134,ENSSSCG00000029212,ENSSSCG00000008595,ENSSSCG00000007507,ENSSSCG00000004596,ENSSSCG00000009179,ENSSSCG00000024644,ENSSSCG00000003086,ENSSSCG00000023611,ENSSSCG00000011831,ENSSSCG00000006535,ENSSSCG00000036808
GO:0035690	0.000320515817835017	0.0148085363496023	11	38	cellular response to drug	BP	ENSSSCG00000001089,ENSSSCG00000031174,ENSSSCG00000007039,ENSSSCG00000010301,ENSSSCG00000010461,ENSSSCG00000030300,ENSSSCG00000039103,ENSSSCG00000009172,ENSSSCG00000003805,ENSSSCG00000014149,ENSSSCG00000009565
GO:0050996	0.000321665713145021	0.0148085363496023	4	7	positive regulation of lipid catabolic process	BP	ENSSSCG00000015067,ENSSSCG00000013370,ENSSSCG00000003819,ENSSSCG00000006355
GO:0005614	0.000339310175479142	0.0154775247016724	6	12	interstitial matrix	CC	ENSSSCG00000003344,ENSSSCG00000011959,ENSSSCG00000005494,ENSSSCG00000006651,ENSSSCG00000016848,ENSSSCG00000011928
GO:0048407	0.000355262974935161	0.0160284379005988	5	8	platelet-derived growth factor binding	MF	ENSSSCG00000033327,ENSSSCG00000036135,ENSSSCG00000016034,ENSSSCG00000005751,ENSSSCG00000015326
GO:0005743	0.000359886064407975	0.0160284379005988	32	222	mitochondrial inner membrane	CC	ENSSSCG00000028620,ENSSSCG00000010860,ENSSSCG00000016199,ENSSSCG00000016290,ENSSSCG00000004349,ENSSSCG00000008307,ENSSSCG00000002515,ENSSSCG00000013896,ENSSSCG00000001991,ENSSSCG00000011456,ENSSSCG00000023215,ENSSSCG00000030167,ENSSSCG00000025686,ENSSSCG00000010116,ENSSSCG00000029945,ENSSSCG00000015872,ENSSSCG00000015336,ENSSSCG00000015334,ENSSSCG00000024109,ENSSSCG00000026025,ENSSSCG00000015949,ENSSSCG00000009373,ENSSSCG00000035066,ENSSSCG00000031789,ENSSSCG00000030017,ENSSSCG00000004510,ENSSSCG00000018041,ENSSSCG00000002913,ENSSSCG00000000133,ENSSSCG00000010826,ENSSSCG00000010829,ENSSSCG00000004672
GO:0004859	0.000361058939031992	0.0160284379005988	3	3	phospholipase inhibitor activity	MF	ENSSSCG00000004578,ENSSSCG00000003819,ENSSSCG00000005267
GO:0055102	0.000371761612368848	0.0162384033191127	3	4	lipase inhibitor activity	MF	ENSSSCG00000015069,ENSSSCG00000003086,ENSSSCG00000006355
GO:0015629	0.000372320590985288	0.0162384033191127	27	149	actin cytoskeleton	CC	ENSSSCG00000025176,ENSSSCG00000010313,ENSSSCG00000040507,ENSSSCG00000003092,ENSSSCG00000015796,ENSSSCG00000021359,ENSSSCG00000003374,ENSSSCG00000010190,ENSSSCG00000032838,ENSSSCG00000024520,ENSSSCG00000007602,ENSSSCG00000010303,ENSSSCG00000010304,ENSSSCG00000010447,ENSSSCG00000009192,ENSSSCG00000004479,ENSSSCG00000011022,ENSSSCG00000039710,ENSSSCG00000001959,ENSSSCG00000008721,ENSSSCG00000037416,ENSSSCG00000025652,ENSSSCG00000009111,ENSSSCG00000032556,ENSSSCG00000008200,ENSSSCG00000033010,ENSSSCG00000006556
GO:0031091	0.000382524996812921	0.0165383850795987	6	12	platelet alpha granule	CC	ENSSSCG00000008997,ENSSSCG00000024314,ENSSSCG00000004789,ENSSSCG00000002481,ENSSSCG00000017082,ENSSSCG00000004012
GO:0031433	0.000388660179341438	0.016658779411083	3	3	telethonin binding	MF	ENSSSCG00000032838,ENSSSCG00000010304,ENSSSCG00000013354
GO:0033700	0.000399731716269539	0.0166948801681029	5	10	phospholipid efflux	BP	ENSSSCG00000015067,ENSSSCG00000015069,ENSSSCG00000040689,ENSSSCG00000003086,ENSSSCG00000006355
GO:0001780	0.000403389221634979	0.0166948801681029	4	5	neutrophil homeostasis	BP	ENSSSCG00000015105,ENSSSCG00000003805,ENSSSCG00000002269,ENSSSCG00000005267
GO:0060048	0.000405355850637722	0.0166948801681029	9	30	cardiac muscle contraction	BP	ENSSSCG00000010142,ENSSSCG00000011325,ENSSSCG00000004570,ENSSSCG00000017500,ENSSSCG00000011441,ENSSSCG00000039710,ENSSSCG00000013354,ENSSSCG00000002029,ENSSSCG00000024061
GO:0005916	0.000405396146071233	0.0166948801681029	5	8	fascia adherens	CC	ENSSSCG00000010313,ENSSSCG00000010640,ENSSSCG00000020785,ENSSSCG00000003722,ENSSSCG00000004241
GO:0005865	0.000407152024972964	0.0166948801681029	5	9	striated muscle thin filament	CC	ENSSSCG00000011508,ENSSSCG00000016605,ENSSSCG00000010190,ENSSSCG00000023010,ENSSSCG00000006631
GO:0046581	0.000409649111124005	0.0166948801681029	4	5	intercellular canaliculus	CC	ENSSSCG00000015894,ENSSSCG00000010543,ENSSSCG00000024520,ENSSSCG00000015926
GO:0043292	0.000434196859621487	0.0175514372848621	5	9	contractile fiber	CC	ENSSSCG00000020785,ENSSSCG00000032720,ENSSSCG00000016397,ENSSSCG00000036724,ENSSSCG00000004241
GO:0055008	0.000474328322849391	0.0190190356548966	5	9	cardiac muscle tissue morphogenesis	BP	ENSSSCG00000040875,ENSSSCG00000007231,ENSSSCG00000010461,ENSSSCG00000017500,ENSSSCG00000015917
GO:0005901	0.000493971180447841	0.0196481976734933	12	43	caveola	CC	ENSSSCG00000037954,ENSSSCG00000014633,ENSSSCG00000023371,ENSSSCG00000007463,ENSSSCG00000002642,ENSSSCG00000040643,ENSSSCG00000016635,ENSSSCG00000016634,ENSSSCG00000002684,ENSSSCG00000035446,ENSSSCG00000022725,ENSSSCG00000033190
GO:0045121	0.000499534313489894	0.019658116829047	21	105	membrane raft	CC	ENSSSCG00000015894,ENSSSCG00000010860,ENSSSCG00000004578,ENSSSCG00000040643,ENSSSCG00000000687,ENSSSCG00000016635,ENSSSCG00000016364,ENSSSCG00000023915,ENSSSCG00000009002,ENSSSCG00000007039,ENSSSCG00000029411,ENSSSCG00000016634,ENSSSCG00000017583,ENSSSCG00000035446,ENSSSCG00000012022,ENSSSCG00000001817,ENSSSCG00000017277,ENSSSCG00000031261,ENSSSCG00000033010,ENSSSCG00000022725,ENSSSCG00000014369
GO:0050995	0.000502128084732296	0.019658116829047	5	11	negative regulation of lipid catabolic process	BP	ENSSSCG00000001844,ENSSSCG00000015069,ENSSSCG00000009937,ENSSSCG00000024644,ENSSSCG00000006355
GO:0070296	0.000511111853235583	0.0198535010491197	3	3	sarcoplasmic reticulum calcium ion transport	BP	ENSSSCG00000029651,ENSSSCG00000034386,ENSSSCG00000017271
GO:0030193	0.000543211546977502	0.0209368047408693	7	18	regulation of blood coagulation	BP	ENSSSCG00000015493,ENSSSCG00000007114,ENSSSCG00000031274,ENSSSCG00000011801,ENSSSCG00000016634,ENSSSCG00000040910,ENSSSCG00000032653
GO:0051373	0.000577016400144678	0.0220686580116872	3	3	FATZ binding	MF	ENSSSCG00000010144,ENSSSCG00000010304,ENSSSCG00000017500
GO:0007517	0.00058748895997475	0.022297672587744	7	19	muscle organ development	BP	ENSSSCG00000026533,ENSSSCG00000006174,ENSSSCG00000008833,ENSSSCG00000036724,ENSSSCG00000032761,ENSSSCG00000009281,ENSSSCG00000007757
GO:0009749	0.00061426578548585	0.0231206754633636	8	24	response to glucose	BP	ENSSSCG00000001089,ENSSSCG00000007371,ENSSSCG00000015545,ENSSSCG00000004789,ENSSSCG00000009919,ENSSSCG00000039103,ENSSSCG00000035124,ENSSSCG00000006355
GO:0006807	0.000621705559584835	0.0231206754633636	7	18	nitrogen compound metabolic process	BP	ENSSSCG00000015545,ENSSSCG00000008041,ENSSSCG00000010060,ENSSSCG00000027646,ENSSSCG00000016159,ENSSSCG00000004181,ENSSSCG00000004180
GO:0046500	0.00062312359454761	0.0231206754633636	3	3	S-adenosylmethionine metabolic process	BP	ENSSSCG00000023142,ENSSSCG00000033214,ENSSSCG00000014111
GO:0004332	0.000639513481794224	0.0235530446776362	3	3	fructose-bisphosphate aldolase activity	MF	ENSSSCG00000017759,ENSSSCG00000038300,ENSSSCG00000032556
GO:0070528	0.000664901424556549	0.0242783620697764	5	10	protein kinase C signaling	BP	ENSSSCG00000033327,ENSSSCG00000002815,ENSSSCG00000008348,ENSSSCG00000006533,ENSSSCG00000022725
GO:0032375	0.000668973371592793	0.0242783620697764	2	2	negative regulation of cholesterol transport	BP	ENSSSCG00000003086,ENSSSCG00000006355
GO:0005739	0.000681587349907756	0.024556900751749	122	1145	mitochondrion	CC	ENSSSCG00000028620,ENSSSCG00000035629,ENSSSCG00000016199,ENSSSCG00000009480,ENSSSCG00000002829,ENSSSCG00000016290,ENSSSCG00000017257,ENSSSCG00000004349,ENSSSCG00000040125,ENSSSCG00000014128,ENSSSCG00000034811,ENSSSCG00000009405,ENSSSCG00000000401,ENSSSCG00000002496,ENSSSCG00000017759,ENSSSCG00000011978,ENSSSCG00000008307,ENSSSCG00000004454,ENSSSCG00000009889,ENSSSCG00000002847,ENSSSCG00000002515,ENSSSCG00000040735,ENSSSCG00000015545,ENSSSCG00000013896,ENSSSCG00000024179,ENSSSCG00000022256,ENSSSCG00000009988,ENSSSCG00000001930,ENSSSCG00000010132,ENSSSCG00000011477,ENSSSCG00000001991,ENSSSCG00000004875,ENSSSCG00000006390,ENSSSCG00000014560,ENSSSCG00000003139,ENSSSCG00000011456,ENSSSCG00000023215,ENSSSCG00000003155,ENSSSCG00000003401,ENSSSCG00000001008,ENSSSCG00000030167,ENSSSCG00000030165,ENSSSCG00000011437,ENSSSCG00000025686,ENSSSCG00000010116,ENSSSCG00000013150,ENSSSCG00000016056,ENSSSCG00000007858,ENSSSCG00000029944,ENSSSCG00000029945,ENSSSCG00000015872,ENSSSCG00000003491,ENSSSCG00000015336,ENSSSCG00000016159,ENSSSCG00000015844,ENSSSCG00000036855,ENSSSCG00000015334,ENSSSCG00000013270,ENSSSCG00000005740,ENSSSCG00000024109,ENSSSCG00000026025,ENSSSCG00000015949,ENSSSCG00000002396,ENSSSCG00000009373,ENSSSCG00000005701,ENSSSCG00000009522,ENSSSCG00000009937,ENSSSCG00000002351,ENSSSCG00000016613,ENSSSCG00000014443,ENSSSCG00000014110,ENSSSCG00000016863,ENSSSCG00000022206,ENSSSCG00000013729,ENSSSCG00000001090,ENSSSCG00000009668,ENSSSCG00000035446,ENSSSCG00000016829,ENSSSCG00000031789,ENSSSCG00000005626,ENSSSCG00000040296,ENSSSCG00000014834,ENSSSCG00000010258,ENSSSCG00000040337,ENSSSCG00000038420,ENSSSCG00000000033,ENSSSCG00000015784,ENSSSCG00000013337,ENSSSCG00000040088,ENSSSCG00000009172,ENSSSCG00000011278,ENSSSCG00000002736,ENSSSCG00000024644,ENSSSCG00000038384,ENSSSCG00000030017,ENSSSCG00000032060,ENSSSCG00000036724,ENSSSCG00000022364,ENSSSCG00000004510,ENSSSCG00000018041,ENSSSCG00000002913,ENSSSCG00000008261,ENSSSCG00000030033,ENSSSCG00000021767,ENSSSCG00000024752,ENSSSCG00000000133,ENSSSCG00000002009,ENSSSCG00000011119,ENSSSCG00000009870,ENSSSCG00000026004,ENSSSCG00000002269,ENSSSCG00000004643,ENSSSCG00000025858,ENSSSCG00000015835,ENSSSCG00000010826,ENSSSCG00000010829,ENSSSCG00000004679,ENSSSCG00000004672,ENSSSCG00000012327,ENSSSCG00000010330,ENSSSCG00000004241,ENSSSCG00000036808
GO:0034363	0.000694323939852265	0.0248358174744278	3	4	intermediate-density lipoprotein particle	CC	ENSSSCG00000015069,ENSSSCG00000008595,ENSSSCG00000003086
GO:0010903	0.000713371187301479	0.0249780390370631	2	2	negative regulation of very-low-density lipoprotein particle remodeling	BP	ENSSSCG00000015069,ENSSSCG00000006355
GO:0060621	0.000713371187301479	0.0249780390370631	2	2	negative regulation of cholesterol import	BP	ENSSSCG00000015069,ENSSSCG00000006355
GO:0070653	0.000713371187301479	0.0249780390370631	2	2	high-density lipoprotein particle receptor binding	MF	ENSSSCG00000015069,ENSSSCG00000006355
GO:0020037	0.0007737408367326	0.0269023737079335	19	108	heme binding	MF	ENSSSCG00000007463,ENSSSCG00000016199,ENSSSCG00000023320,ENSSSCG00000039745,ENSSSCG00000004875,ENSSSCG00000000046,ENSSSCG00000003891,ENSSSCG00000008868,ENSSSCG00000012625,ENSSSCG00000010546,ENSSSCG00000001901,ENSSSCG00000022092,ENSSSCG00000011801,ENSSSCG00000029570,ENSSSCG00000010780,ENSSSCG00000010488,ENSSSCG00000005485,ENSSSCG00000024537,ENSSSCG00000003006
GO:0051006	0.000782800917422501	0.0270283761210047	4	7	positive regulation of lipoprotein lipase activity	BP	ENSSSCG00000015067,ENSSSCG00000040689,ENSSSCG00000040910,ENSSSCG00000003086
GO:0036094	0.000845997396844308	0.029008959014551	4	7	small molecule binding	MF	ENSSSCG00000023686,ENSSSCG00000005485,ENSSSCG00000011831,ENSSSCG00000010479
GO:0006749	0.000866537125219301	0.0295097437437696	7	22	glutathione metabolic process	BP	ENSSSCG00000021579,ENSSSCG00000010065,ENSSSCG00000010064,ENSSSCG00000015844,ENSSSCG00000022351,ENSSSCG00000001090,ENSSSCG00000001488
GO:0060355	0.00088819591924496	0.029904579621912	3	3	positive regulation of cell adhesion molecule production	BP	ENSSSCG00000016634,ENSSSCG00000040397,ENSSSCG00000022725
GO:0019915	0.000890160455358602	0.029904579621912	7	19	lipid storage	BP	ENSSSCG00000013270,ENSSSCG00000012841,ENSSSCG00000016634,ENSSSCG00000003819,ENSSSCG00000024644,ENSSSCG00000020823,ENSSSCG00000002007
GO:0045833	0.000915075743678547	0.0305352791783204	2	2	negative regulation of lipid metabolic process	BP	ENSSSCG00000015069,ENSSSCG00000003086
GO:0031210	0.0009561421362971	0.0316929246777945	6	17	phosphatidylcholine binding	MF	ENSSSCG00000015067,ENSSSCG00000040689,ENSSSCG00000007435,ENSSSCG00000002481,ENSSSCG00000017608,ENSSSCG00000006355
GO:0051919	0.000992891842020872	0.0326441760492526	3	3	positive regulation of fibrinolysis	BP	ENSSSCG00000015799,ENSSSCG00000031274,ENSSSCG00000004038
GO:0005588	0.000999831069698359	0.0326441760492526	3	3	collagen type V trimer	CC	ENSSSCG00000016035,ENSSSCG00000005751,ENSSSCG00000013667
GO:0042567	0.00100453719540138	0.0326441760492526	3	4	insulin-like growth factor ternary complex	CC	ENSSSCG00000008013,ENSSSCG00000038783,ENSSSCG00000025924
GO:0006096	0.00102210103812655	0.0329992620880858	8	27	glycolytic process	BP	ENSSSCG00000017759,ENSSSCG00000001930,ENSSSCG00000016720,ENSSSCG00000017904,ENSSSCG00000021129,ENSSSCG00000038300,ENSSSCG00000008261,ENSSSCG00000032556
GO:0008092	0.00106579751519752	0.0340984256809238	11	41	cytoskeletal protein binding	MF	ENSSSCG00000004578,ENSSSCG00000020785,ENSSSCG00000010144,ENSSSCG00000017759,ENSSSCG00000015796,ENSSSCG00000029311,ENSSSCG00000038300,ENSSSCG00000016578,ENSSSCG00000010962,ENSSSCG00000032556,ENSSSCG00000013244
GO:0005925	0.00106986210905553	0.0340984256809238	42	284	focal adhesion	CC	ENSSSCG00000010313,ENSSSCG00000015894,ENSSSCG00000022230,ENSSSCG00000010144,ENSSSCG00000003183,ENSSSCG00000015022,ENSSSCG00000035952,ENSSSCG00000016635,ENSSSCG00000003465,ENSSSCG00000040507,ENSSSCG00000008540,ENSSSCG00000005494,ENSSSCG00000011033,ENSSSCG00000024520,ENSSSCG00000029411,ENSSSCG00000003722,ENSSSCG00000001873,ENSSSCG00000017300,ENSSSCG00000006303,ENSSSCG00000039148,ENSSSCG00000016634,ENSSSCG00000002684,ENSSSCG00000000549,ENSSSCG00000003514,ENSSSCG00000024088,ENSSSCG00000008101,ENSSSCG00000016578,ENSSSCG00000011022,ENSSSCG00000012744,ENSSSCG00000017495,ENSSSCG00000015896,ENSSSCG00000009111,ENSSSCG00000013614,ENSSSCG00000015917,ENSSSCG00000035987,ENSSSCG00000009097,ENSSSCG00000015116,ENSSSCG00000033010,ENSSSCG00000022725,ENSSSCG00000003644,ENSSSCG00000004241,ENSSSCG00000005267
GO:0007266	0.00120982616861317	0.0379794190857016	10	37	Rho protein signal transduction	BP	ENSSSCG00000021359,ENSSSCG00000012848,ENSSSCG00000022804,ENSSSCG00000008629,ENSSSCG00000002684,ENSSSCG00000002815,ENSSSCG00000014878,ENSSSCG00000017277,ENSSSCG00000015326,ENSSSCG00000011810
GO:0060228	0.00121141424876551	0.0379794190857016	3	4	phosphatidylcholine-sterol O-acyltransferase activator activity	MF	ENSSSCG00000015067,ENSSSCG00000040689,ENSSSCG00000006355
GO:0043034	0.0012145469900697	0.0379794190857016	5	10	costamere	CC	ENSSSCG00000010313,ENSSSCG00000032720,ENSSSCG00000011022,ENSSSCG00000035223,ENSSSCG00000033010
GO:0090277	0.00125226290020855	0.0387367570977593	4	6	positive regulation of peptide hormone secretion	BP	ENSSSCG00000007671,ENSSSCG00000008997,ENSSSCG00000024314,ENSSSCG00000036746
GO:0016525	0.00125434792693871	0.0387367570977593	12	49	negative regulation of angiogenesis	BP	ENSSSCG00000009545,ENSSSCG00000000915,ENSSSCG00000004535,ENSSSCG00000024024,ENSSSCG00000004789,ENSSSCG00000011801,ENSSSCG00000010816,ENSSSCG00000008629,ENSSSCG00000014117,ENSSSCG00000040910,ENSSSCG00000017082,ENSSSCG00000004012
GO:0072659	0.00137070602864274	0.0420688294716771	18	94	protein localization to plasma membrane	BP	ENSSSCG00000030361,ENSSSCG00000023371,ENSSSCG00000017801,ENSSSCG00000040643,ENSSSCG00000010144,ENSSSCG00000008233,ENSSSCG00000017232,ENSSSCG00000003722,ENSSSCG00000008629,ENSSSCG00000029189,ENSSSCG00000039103,ENSSSCG00000039575,ENSSSCG00000025652,ENSSSCG00000035987,ENSSSCG00000032761,ENSSSCG00000002436,ENSSSCG00000022725,ENSSSCG00000009565
GO:0050873	0.00143232597051877	0.0434394165995023	8	28	brown fat cell differentiation	BP	ENSSSCG00000004425,ENSSSCG00000013514,ENSSSCG00000023915,ENSSSCG00000038598,ENSSSCG00000017137,ENSSSCG00000029275,ENSSSCG00000040681,ENSSSCG00000039103
GO:0030169	0.00143283675026516	0.0434394165995023	5	10	low-density lipoprotein particle binding	MF	ENSSSCG00000006403,ENSSSCG00000004789,ENSSSCG00000002684,ENSSSCG00000025020,ENSSSCG00000040397
GO:0001968	0.00146528117529395	0.044153806082191	6	15	fibronectin binding	MF	ENSSSCG00000037102,ENSSSCG00000004789,ENSSSCG00000035066,ENSSSCG00000038783,ENSSSCG00000025924,ENSSSCG00000011928
GO:0010804	0.00152004075630399	0.0455279677129124	5	11	negative regulation of tumor necrosis factor-mediated signaling pathway	BP	ENSSSCG00000040125,ENSSSCG00000000875,ENSSSCG00000039103,ENSSSCG00000011110,ENSSSCG00000009565
GO:0060047	0.00154043372353757	0.0458624938528671	5	13	heart contraction	BP	ENSSSCG00000004022,ENSSSCG00000017296,ENSSSCG00000039710,ENSSSCG00000027613,ENSSSCG00000009281
GO:0098911	0.00155718522876509	0.0459156828035758	5	10	regulation of ventricular cardiac muscle cell action potential	BP	ENSSSCG00000010142,ENSSSCG00000022739,ENSSSCG00000016634,ENSSSCG00000022672,ENSSSCG00000001025
GO:0004364	0.00156068994243852	0.0459156828035758	6	19	glutathione transferase activity	MF	ENSSSCG00000002623,ENSSSCG00000028488,ENSSSCG00000010065,ENSSSCG00000010064,ENSSSCG00000032003,ENSSSCG00000022351
GO:0007219	0.00157610827110994	0.0460965313174038	14	70	Notch signaling pathway	BP	ENSSSCG00000003565,ENSSSCG00000025176,ENSSSCG00000010860,ENSSSCG00000000875,ENSSSCG00000002555,ENSSSCG00000002749,ENSSSCG00000016720,ENSSSCG00000016402,ENSSSCG00000001440,ENSSSCG00000002838,ENSSSCG00000012022,ENSSSCG00000038420,ENSSSCG00000036569,ENSSSCG00000010537
GO:0009072	0.00160525591929044	0.0466744586591349	4	8	aromatic amino acid family metabolic process	BP	ENSSSCG00000000856,ENSSSCG00000009805,ENSSSCG00000002396,ENSSSCG00000002736
GO:0051592	0.00164045615790026	0.0474206280062797	7	21	response to calcium ion	BP	ENSSSCG00000008997,ENSSSCG00000024314,ENSSSCG00000004789,ENSSSCG00000015336,ENSSSCG00000015949,ENSSSCG00000016634,ENSSSCG00000009172
GO:0034384	0.00171915858128486	0.0494084188794702	3	5	high-density lipoprotein particle clearance	BP	ENSSSCG00000001411,ENSSSCG00000003086,ENSSSCG00000006355
GO:0006937	0.00173953680265567	0.0497067642689883	4	9	regulation of muscle contraction	BP	ENSSSCG00000006391,ENSSSCG00000025353,ENSSSCG00000031903,ENSSSCG00000011441
GO:0071949	0.00178053826044959	0.0505481279079474	6	16	FAD binding	MF	ENSSSCG00000011477,ENSSSCG00000025686,ENSSSCG00000013270,ENSSSCG00000020758,ENSSSCG00000002913,ENSSSCG00000009942
GO:0030300	0.00178931426222823	0.0505481279079474	3	4	regulation of intestinal cholesterol absorption	BP	ENSSSCG00000015067,ENSSSCG00000040689,ENSSSCG00000006355
GO:0043542	0.00209053374694472	0.0583948093807391	7	21	endothelial cell migration	BP	ENSSSCG00000015894,ENSSSCG00000033608,ENSSSCG00000002684,ENSSSCG00000003376,ENSSSCG00000017277,ENSSSCG00000015896,ENSSSCG00000036569
GO:0031638	0.00209946605106984	0.0583948093807391	4	7	zymogen activation	BP	ENSSSCG00000012711,ENSSSCG00000031274,ENSSSCG00000000675,ENSSSCG00000001817
